Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
968,81,354,13669,13750
346,81,427,13677,13758
626,81,860,13325,13406
470,81,948,13318,13399
295,82,643,13704,13786
745,82,996,13433,13515
998,84,906,13605,13689
832,85,314,14281,14366
845,85,680,14000,14085
368,86,693,14072,14158
970,86,813,14038,14124
717,87,70,14867,14954
116,87,620,14404,14491
375,88,58,15053,15141
943,88,344,14855,14943
509,88,478,14809,14897
247,88,881,14494,14582
326,88,917,14546,14634
673,88,962,14589,14677
159,89,985,14654,14743
616,90,431,15297,15387
884,90,923,14895,14985
682,91,116,15792,15883
774,91,507,15492,15583
927,92,341,15749,15841
593,92,513,15669,15761
486,92,544,15730,15822
182,92,865,15501,15593
699,92,999,15459,15551
362,93,357,16193,16286
735,93,429,16214,16307
789,93,495,16241,16334
919,93,600,16229,16322
117,93,861,16061,16154
916,94,109,16906,17000
395,94,400,16709,16803
656,94,412,16791,16885
909,94,631,16666,16760
950,95,223,17168,17263
199,95,248,17238,17333
119,96,224,17357,17453
650,96,707,16970,17066
585,97,319,17454,17551
154,97,343,17527,17624
164,97,839,17128,17225
705,98,375,17689,17787
584,98,667,17495,17593
596,98,716,17544,17642
559,98,965,17393,17491
328,98,994,17462,17560
353,99,475,18079,18178
566,99,851,17802,17901
134,100,299,18453,18553
925,100,545,18307,18407
245,100,618,18334,18434
773,100,840,18212,18312
731,101,196,18956,19057
195,101,669,18584,18685
904,102,311,19043,19145
555,102,624,18832,18934
537,103,116,19442,19545
129,103,317,19344,19447
855,103,714,19050,19153
663,104,211,19656,19760
392,104,331,19640,19744
286,104,774,19301,19405
955,104,795,19384,19488
294,104,950,19333,19437
834,104,973,19414,19518
302,105,782,19709,19814
405,105,994,19602,19707
793,106,266,20435,20541
979,106,465,20342,20448
360,106,481,20432,20538
539,107,67,20952,21059
238,107,206,20920,21027
850,107,469,20764,20871
384,108,352,20988,21096
858,108,849,20599,20707
577,110,70,21486,21596
510,110,206,21460,21570
281,110,240,21536,21646
358,110,617,21269,21379
502,111,106,21890,22001
451,111,314,21793,21904
644,111,478,21740,21851
739,111,739,21590,21701
975,112,599,21841,21953
619,113,714,21838,21951
882,113,738,21927,22040
125,113,924,21854,21967
177,114,257,22634,22748
748,114,812,22193,22307
973,115,419,22700,22815
285,115,454,22780,22895
849,116,88,23261,23377
460,116,124,23341,23457
329,116,386,23195,23311
936,116,574,23123,23239
747,116,577,23236,23352
485,117,656,23273,23390
336,119,340,23706,23825
982,119,366,23799,23918
759,119,857,23427,23546
335,121,152,24251,24372
248,121,903,23621,23742
746,123,418,24227,24350
833,124,209,24559,24683
147,124,936,23956,24080
632,125,161,24855,24980
800,125,991,24150,24275
734,126,416,24850,24976
843,126,683,24709,24835
153,127,352,25166,25293
677,127,359,25286,25413
607,127,362,25410,25537
496,127,623,25276,25403
726,129,311,25715,25844
971,129,902,25253,25382
410,129,946,25338,25467
623,130,63,26350,26480
674,130,280,26263,26393
534,130,708,25965,26095
343,130,797,26006,26136
874,130,871,26062,26192
809,132,60,27003,27135
629,132,135,27060,27192
367,132,254,27073,27205
289,132,949,26510,26642
552,133,227,27364,27497
417,133,239,27485,27618
817,133,277,27580,27713
790,133,334,27656,27789
244,133,453,27670,27803
776,133,863,27393,27526
120,133,882,27507,27640
351,134,263,28259,28393
580,134,476,28180,28314
627,134,492,28298,28432
243,134,597,28327,28461
752,134,686,28372,28506
378,134,727,28465,28599
878,134,730,28596,28730
978,134,785,28675,28809
740,134,839,28755,28889
947,135,142,29586,29721
634,135,164,29699,29834
135,135,354,29644,29779
891,135,563,29570,29705
532,135,568,29700,29835
161,135,964,29439,29574
